,Comentarios,TweetPre
210,"@mrmisteryradio Diras que esto es triste, e incluso hasta muy mal. Yo te digo que lo es, pero es porque asi queriamos que fuese. Oohhh triste humanidad.",mrmisteryradio diras triste incluso digo queriamos oohhh triste humanidad
211,Voy jajaja llorar,jajaja llorar
212,Hoy me siento mega cansada,siento mega cansada
213,O que me deiva triste é que eles no podem aceitar porque pode contar como soborno DESDE QUANDO DAR AGUA PRA ALGUÉM É SUBORNO,deiva triste eles podem aceitar pode contar soborno quando agua alguem suborno
214,"Cerrar podrá mis ojos la postrera sombra que me llevare al blanco día y podrá desatar esta alma mía hora jajaja su afán ansioso lisonjera. Mas no, demora parte en la ribera dejará la memoria en donde ardía, nadar sabe mi llama la agua fría, y perder el respeto jajaja ley severa",cerrar podra ojos postrera sombra llevare blanco podra desatar alma hora jajaja afan ansioso lisonjera demora parte ribera dejara memoria ardia nadar sabe llama agua fria perder respeto jajaja severa
215,Igual debio haberse sorprendido ok cuando vino harry la primera vez taba sentada con ella en el liceo y me puse jajaja llorar KSKDKFKFKF pucha isal iria pero no hay plata de,igual debio haberse sorprendido vino harry primera taba sentada liceo puse jajaja llorar kskdkfkfkf pucha isal iria plata
216,La guacamayo se va jajaja arrancar todas las plumas de la ansiedad que tiene la pobre. #SecretGala1,guacamayo jajaja arrancar toda plumas ansiedad pobre secretgala
217,"@Nathalius__ É triste, mas é jajaja realidad.",nathalius triste jajaja realidad
218,"La verdad, es que es un poco triste que no tenga tanto alcancen en twitch como me gustaría, no pido tener 100 personas viéndome, con 10 me conformo y soy feliz para siempre, que haya interacción en el chat y demás. No pido ser el mejor, pero si pasarlo bien con mi hobby",verdad triste alcancen twitch gustaria pido tener persona viendome conformo feliz siempre interaccion chat demas pido mejor pasarlo bien hobby
219,ainda nem de mesa noite e eu já te triste (?),ainda mesa noite triste
220,"Que triste suelen ser jajaja veces las noticas que el fútbol nos puede dejar, El Chivito ha sido otra “VICTIMA ” más de las perreras en la cancha. Ojalá, su fractura, no sea tan grave. Pobre Joseph 😓⚽️",triste suelen jajaja veces noticas futbol puede dejar chivito sido victima perreras cancha ojala fractura grave pobre joseph
221,jajaja la mierda me hice la re ranchera hoy entrenando y siendo las nueve ya me quiero ir jajaja mimir sin comer de lo cansada q stop xd,jajaja mierda hice ranchera entrenando siendo nueve quiero jajaja mimir comer cansada stop
222,"tudo bem estar cansado jajaja), voce no precisa ser forte o tempo todo.",tudo cansado jajaja voce precisa forte tempo
223,yo: ninguna canción m pone triste jajsjajsksk *******APARECE ESTÁ CANCIÓN******,ninguna cancion pone triste jajsjajsksk aparece cancion
224,""" 🟠 El triste final de Vladimir Komarov, el primer humano que murió en una misión espacial """,triste final vladimir komarov primer humano murio mision espacial
225,@cgmira @LNcampo Gracias Cristian! Triste realidad!,cgmira lncampo gracias cristian triste realidad
226,Kailaine ta me dejando preocupada! 😣,kailaine dejando preocupada
227,@lizethselene_ Cansada e com calor,lizethselene cansada calor
228,Será q meus amigos veo fazer uma festa de aniversário sorpresa pra mim? Dois anos sem festiva te triste com isso já,serum meus amigo fazer festa aniversario sorpresa doi ano festiva triste isso
229,"Joder es llorar y llorar sin parar, y lo más jodido es que me vengan diciendo que deje de dar pena y llamar la atención. Yo ya no sé paso de todo quiero desaparecer de una puta vez.",joder llorar llorar parar jodido vengan diciendo deje pena llamar atencion paso quiero desaparecer puta
230,De solo recordar cómo hizo llorar jajaja muchos con ese comentario 🤭,solo recordar hizo llorar jajaja comentario
231,"@SantanaYeray Madre mía, ya te digo, tener sangre de unicornio es muuy cansado 🤦",santanayeray madre digo tener sangre unicornio muuy cansado
232,@horanO_o fer de mierda te gusta hacerme llorar,horano mierda gusta hacerme llorar
233,"Tengo mucha hambre, y tantito de ansiedad por el viernes. No quiero saber bien qué va jajaja suceder y lo único que puedo hacer ahora para pasar el hambre y el miedo es dormir.",mucha hambre tantito ansiedad viernes quiero saber bien jajaja suceder unico puedo hacer ahora pasar hambre miedo dormir
234,"xia dice que soy como xiao de kenshin por depresiva, q lindo",dice xiao kenshin depresiva lindo
235,"@StellaRICCI10 No me hubiera alejado del amor de mi vida, no me hubiera no preocupado por no aprender jajaja manejar y no hubiera aguantado 12 años en pareja al nabo del padre de mi hija.",stellaricci alejado amor vida preocupado aprender jajaja manejar aguantado ano pareja nabo padre hija
236,"@pabloduggan Que triste llegar jajaja esta altura de tu vida Duggan y tener que mentir para la gilada, venderse sin importar ensuciar la memoria de quién no puede defenderse, sos poco hombre y una basura de persona",pabloduggan triste llegar jajaja altura vida duggan tener mentir gilada venderse importar ensuciar memoria puede defenderse hombre basura persona
237,"@pires_loh Triste ok, agora deshidratada no dá né hahahahahaha",pires triste agora deshidratada hahahahahaha
238,@SouzWes @cansada_amora estou imposibilitado no momento,souzwes cansada amora estou imposibilitado momento
239,"@giselaonedirec no me importa pagar más por ellas, y la sección que sea, la verdad estoy un pco desesperada por encontrar unas",giselaonedirec importa pagar seccion verdad desesperada encontrar unas
240,"@maluiribarrem Aí eu acho é, fico echando que é as pessoas se enviando p desechar na minha cara, ainda mais quando tem vários envios kkkkkkk é triste p curioso",maluiribarrem acho fico echando pessoas enviando desechar minha cara ainda mais quando varios envios kkk triste curioso
241,@vroshilov @jcarreraandrade Calla pendejo.. cuando te pase jajaja ti has de llorar..COJUDO,vroshilov jcarreraandrade calla pendejo pase jajaja llorar cojudo
242,O mais triste é ter que explicar pra armando dedos de 2 anos de pandemia que jajaja vagina no te deiva inmune do comida,mais triste explicar armando dedos ano pandemia jajaja vagina deiva inmune comida
243,@oficialmussi ADM ME SEGUE TÔ CANSADO DE PEDIR jajaja UM MILHÃO DO MUSSI,oficialmussi segue cansado pedir jajaja milhao mussi
244,"Amo minha putica, assim como amo minha girafa logra, mas por favor no resuma elas jajaja uma coisa tío triste como macho, elas no tem culpa se eles so cobardes, sangue sigas, e se esconder atrás pessoas poderosas que no se importa de jugar o nome de días mujeres na boca do lobo",minha putica assim minha girafa logra favor resuma ela jajaja coisa triste macho ela culpa eles cobardes sangue sigas esconder atras pessoas poderosas importa jugar nome dia mujeres boca lobo
245,Comi um dog agora q tava tío recreado q dique até triste,comi agora tava recreado dique triste
246,No paro de llorar,paro llorar
247,"Sabe aquela mae/pai que vive dicendo que tá cansado mesmo quando supuestamente no faz nada? Além dos cuidados, entender, NOSSO CÉREBRO NÃO PARA UM MINUTO. O tempo todo preparado pra resolver um problema. Acolham sempre!",sabe aquela vive dicendo cansado mesmo quando supuestamente alem cuidados entender nosso cerebro minuto tempo preparado resolver problema acolham sempre
248,@chicoitapema @zehdeabreu Triste episódio!! O Reitor era para estar vivo!!! …,chicoitapema zehdeabreu triste episodio reitor vivo
249,@_axtone y yo perdiendo oportunidades por no hablar inglés con una depresión de 1000 😢,axtone perdiendo oportunidades hablar ingles depresion
250,"Quiero llorar, no sabía que responder 🤥",quiero llorar sabia responder
251,Gente o about do @pedrohpereira tá bajado te amando noooooo ansiosa pra ver ele pronto 100% e funcionando 😭❤🙌🛐,gente about pedrohpereira bajado amando nooo ansiosa pronto funcionando
252,Hoy es el primer 19 del año y no pude evitar sentirme culpable por no sentirme triste.,primer pude evitar sentirme culpable sentirme triste
253,Triste,triste
254,claramente hice el hilo para cuando esté triste,claramente hice hilo triste
255,MO SABEN CUANTO ODIO QUE 🚘 MENCIONE QUE KE HICIERON BULLYING ME LONE TAN TRISTE,saben cuanto odio mencione hicieron bullying lone triste
256,me voy jajaja poner jajaja llorar 😭😭😭😭😭,jajaja poner jajaja llorar
257,y si y si cancelo todo y me hundo en la depresión,cancelo hundo depresion
258,"No estoy cansada, estoy lo que sigue de cansada.",cansada sigue cansada
259,te mt triste só quero parar de pensar,triste quero parar pensar
260,"@luisantonio_r @teleamazonasec Por eso estamos cómo estamos, x los delincuentes tienen derechos ” y el resto de personas debemos permitir q ellos hagan y deshagan, q triste noticia, la policía no puede cumplir sus labores jajaja cabalidad si las leyes no les respaldan",luisantonio teleamazonasec delincuentes derechos resto persona debemos permitir hagan deshagan triste noticia policia puede cumplir labores jajaja cabalidad leyes respaldan
261,@freddydurangil jajaja lo más gracioso es que esos negocios de 22m2 venden hasta la madre y todo hiper mega costoso y aún así tienen el descaro de llorar por pagar el aseo... Somos tercer budista y eso nadie lo puede cambiar,freddydurangil jajaja gracioso negocios venden madre hiper mega costoso descaro llorar pagar aseo tercer budista nadie puede cambiar
262,@lizethselene_ estás nerviosa por el show? cómo te preparás?,lizethselene nerviosa show preparas
263,@tantotupiassu jajaja humanidad realmente está diente... que triste,tantotupiassu jajaja humanidad realmente diente triste
264,"Que raro se siente estar en modo neutro, no te sientes ni triste, ni Feliz, solo estas ahí sin sentir nada.",raro modo neutro sientes triste feliz solo sentir
265,@jdismylifesaver Aayyy maggie mee haces llorar,jdismylifesaver aayyy maggie haces llorar
266,"Eu te tío triste, só de pensar que o HS vai vir pra cá e eu no vou ter jajaja chance de ver ele, no vou ter jajaja chance de ver de perto uma obra de arte como ele más",triste pensar jajaja chance jajaja chance perto obra arte
267,te tío ansiosa p classe jajaja,ansiosa classe jajaja
268,estaba triste pero ya no porque vi estas fotos 😍,triste fotos
269,@Theh4rry_ Se um dia eu fui triste.. eu libro. Mas eu estou feliz!!!,theh triste libro estou feliz
270,estou ansioso para amante que ódio,estou ansioso amante odio
271,GRACIAS POR SER AQUELLA PUTA NIÑA DE LA ESCUELA SIEMPRE CHICAS DE VERDAD MUCHAS GRACIAS POR LO DE HOY VOY jajaja LLORAR,gracias aquella puta nina escuela siempre chicas verdad muchas gracias jajaja llorar
272,Me sigo riendo con esto porque es mi modo de defensa para no llorar y tengo el humor roto jajaja,sigo riendo modo defensa llorar humor roto jajaja
273,fico tao triste quando to ganando peso e acontece algo q mete com minha cabecita e eu saco dos 50 pros 45 em 1 semana,fico triste quando ganando peso acontece mete minha cabecita saco pro semana
274,"E os caminas que vem pujar papo comigo supongo que eu sea burra, porque na cabeza transfóbica deles eu sou rasa e superficial, alim de ser extremamente desesperada sexualmente … Depois diem que sou grosso e metida de grasa.",caminas pujar papo comigo supongo burra cabeza transfobica deles rasa superficial alim extremamente desesperada sexualmente depois diem grosso metida grasa
275,queee manera de llorar chics no me salen lagrimas ya jshfjss,queee manera llorar chic salen lagrimas jshfjss
276,"La necesidad de que me abracen fuertemente, hasta que comience jajaja llorar y no me suelte mientras lloro y no me diga nada solo me abracen 😭 MALADITO COVID 🤧",necesidad abracen fuertemente comience jajaja llorar suelte mientras lloro diga solo abracen maladito covid
277,é muito triste jajaja vida de no ter pito,muito triste jajaja vida pito
278,@Guadi_Pelosista Tinelli esta preocupado porque su hijita se separo de su novio numero... vaya jajaja saber por el numero que va.,guadi pelosista tinelli preocupado hijita separo novio numero vaya jajaja saber numero
279,"@Cutchile @Camara_cl Q gana ud con esto? Todos los q trabajamos en las plataformas d las app queremos libertad en nuestro oficio, sino fuera fácil todos seríamos unos simples empleados dependiendo de un triste sueldo enriqueciendo jajaja los empresarios y frustrando nos jajaja vivir de un ingreso MENSUAL.",cutchile camara gana trabajamos plataformas queremos libertad oficio sino facil seriamos simple empleados dependiendo triste sueldo enriqueciendo jajaja empresarios frustrando jajaja vivir ingreso mensual
280,estou triste estou triste,estou triste estou triste
281,jajaja rutina está terriblemente triste,jajaja rutina terriblemente triste
282,"jajaja gente sabe que tá cansado é quando em uma cuarta feria, tomando 6 barrigudinhas, fijamos bebimos e pintando de sono",jajaja gente sabe cansado quando cuarta feria tomando barrigudinhas fijamos bebimos pintando sono
283,"se ela nao quer nada se ta cansada comigo, pq ela simplemente nao para de fiar comigo",quer cansada comigo simplemente fiar comigo
284,Ansiosa pra ver Pablo e Vitor Bueno se despedido também 😌🙌🏻,ansiosa pablo vitor bueno despedido tambem
285,@gooofoot @SBrother27 @IsaNahilaS @SamirDao @Clown_Triste_13 @Fred_Sgma974 Tout est internet 2020-2022 pour x raison Il est internet d'interfiere mai 68,gooofoot sbrother isanahilas samirdao clown triste fred sgma tout internet pour raison internet interfiere
286,@_juliagtt meu deus NINGUEM era triste @CarolinaKahler @Claramsimas,juliagtt deus ninguem triste carolinakahler claramsimas
287,Que triste por Alter do Chão. O ser humano no merece esse planeta.,triste alter chao humano merece esse planeta
288,Odeio me sentir tío exausta e cansada assim física e mentalmente,odeio sentir exausta cansada assim fisica mentalmente
289,horas de llorar por beogmyu chicos estoy super triste v????,horas llorar beogmyu chico super triste
